# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Sun Nov 13 15:10:53 CET 2022
# PARSEC isochrones, release v1.0 (Bressan et al. 2012)
# Basic reference: Bressan et al. (2012), MNRAS, 427, 127
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 6.60000 0.1000000015 1.1711064122    0.100 -1.581  3.5129  4.022    0 8.722 13.818 12.313 10.718 9.571 8.176 6.891 6.346 6.088
0.0152 0.01508 6.60000 0.1067529991 1.2251617961    0.107 -1.542  3.5151  4.021    0 8.624 13.668 12.175 10.589 9.451 8.072 6.799 6.253 5.996
0.0152 0.01508 6.60000 0.1182027310 1.3073537298    0.118 -1.479  3.5188  4.016    0 8.467 13.432 11.956 10.382 9.258 7.905 6.650 6.101 5.847
0.0152 0.01508 6.60000 0.1200000048 1.3193154741    0.120 -1.470  3.5193  4.016    0 8.445 13.397 11.923 10.351 9.230 7.881 6.629 6.079 5.826
0.0152 0.01508 6.60000 0.1229641065 1.3385428173    0.123 -1.455  3.5202  4.016    0 8.408 13.342 11.872 10.302 9.185 7.842 6.594 6.044 5.791
0.0152 0.01508 6.60000 0.1400000006 1.4384526719    0.140 -1.375  3.5248  4.010    0 8.206 13.041 11.592 10.038 8.939 7.627 6.402 5.849 5.600
0.0152 0.01508 6.60000 0.1599999964 1.5372931554    0.160 -1.292  3.5296  4.005    0 8.001 12.733 11.305 9.767 8.687 7.409 6.208 5.652 5.406
0.0152 0.01508 6.60000 0.2000000030 1.6938790862    0.200 -1.158  3.5382  4.002    0 7.665 12.222 10.832 9.319 8.268 7.055 5.896 5.332 5.091
0.0152 0.01508 6.60000 0.2503973842 1.8413334270    0.250 -1.023  3.5479  4.003    0 7.328 11.716 10.353 8.865 7.844 6.698 5.583 5.010 4.775
0.0152 0.01508 6.60000 0.2989089489 1.9507237948    0.299 -0.918  3.5564  4.009    0 7.065 11.320 9.973 8.506 7.510 6.419 5.340 4.760 4.530
0.0152 0.01508 6.60000 0.3000000119 1.9529139769    0.300 -0.916  3.5566  4.009    0 7.059 11.312 9.966 8.499 7.503 6.413 5.335 4.754 4.525
0.0152 0.01508 6.60000 0.3346361816 2.0174930511    0.335 -0.850  3.5624  4.014    0 6.895 11.077 9.733 8.278 7.296 6.241 5.185 4.599 4.376
0.0152 0.01508 6.60000 0.3562327623 2.0535161383    0.356 -0.813  3.5659  4.019    0 6.803 10.943 9.600 8.152 7.179 6.145 5.103 4.513 4.293
0.0152 0.01508 6.60000 0.3620486259 2.0627342959    0.362 -0.804  3.5668  4.020    0 6.780 10.908 9.565 8.119 7.149 6.120 5.082 4.491 4.272
0.0152 0.01508 6.60000 0.3872066438 2.1005002556    0.387 -0.763  3.5708  4.024    0 6.677 10.757 9.424 7.990 7.027 6.015 4.986 4.390 4.176
0.0152 0.01508 6.60000 0.4000000060 2.1185024399    0.400 -0.742  3.5728  4.025    0 6.626 10.681 9.369 7.950 6.986 5.965 4.929 4.331 4.122
0.0152 0.01508 6.60000 0.4214214683 2.1470296434    0.421 -0.711  3.5760  4.030    0 6.547 10.564 9.284 7.889 6.924 5.889 4.843 4.241 4.040
0.0152 0.01508 6.60000 0.4508774877 2.1833169502    0.451 -0.670  3.5805  4.035    0 6.444 10.407 9.172 7.810 6.842 5.790 4.728 4.122 3.932
0.0152 0.01508 6.60000 0.4918277264 2.2289390439    0.492 -0.616  3.5864  4.044    0 6.311 10.149 8.959 7.635 6.686 5.665 4.605 3.969 3.799
0.0152 0.01508 6.60000 0.5000000000 2.2374541529    0.500 -0.604  3.5876  4.044    0 6.280 10.077 8.891 7.573 6.634 5.638 4.585 3.934 3.771
0.0152 0.01508 6.60000 0.5500000119 2.2836582633    0.550 -0.542  3.5948  4.051    0 6.125 9.677 8.518 7.236 6.357 5.499 4.487 3.757 3.632
0.0152 0.01508 6.60000 0.5720103383 2.3010780911    0.572 -0.517  3.5979  4.056    0 6.063 9.509 8.362 7.096 6.242 5.444 4.449 3.685 3.576
0.0152 0.01508 6.60000 0.6000000238 2.3211213258    0.600 -0.485  3.6019  4.061    0 5.983 9.368 8.230 6.972 6.132 5.361 4.382 3.619 3.513
0.0152 0.01508 6.60000 0.6499999762 2.3520353107    0.650 -0.430  3.6089  4.069    0 5.845 9.130 8.006 6.763 5.946 5.219 4.268 3.508 3.404
0.0152 0.01508 6.60000 0.7000000477 2.3779267258    0.700 -0.379  3.6155  4.076    0 5.716 8.900 7.797 6.568 5.773 5.087 4.160 3.406 3.306
0.0152 0.01508 6.60000 0.7224879861 2.3882370861    0.723 -0.356  3.6184  4.078    0 5.660 8.798 7.705 6.484 5.699 5.029 4.113 3.362 3.263
0.0152 0.01508 6.60000 0.7500000000 2.3998889087    0.750 -0.329  3.6217  4.081    0 5.594 8.676 7.596 6.385 5.611 4.960 4.057 3.310 3.213
0.0152 0.01508 6.60000 0.8130144477 2.4231922209    0.813 -0.271  3.6292  4.088    0 5.448 8.404 7.359 6.171 5.423 4.807 3.933 3.201 3.107
0.0152 0.01508 6.60000 0.8300038576 2.4287828184    0.830 -0.256  3.6311  4.089    0 5.409 8.331 7.297 6.116 5.375 4.766 3.899 3.172 3.080
0.0152 0.01508 6.60000 0.8500000238 2.4350346840    0.850 -0.240  3.6331  4.092    0 5.370 8.254 7.234 6.060 5.325 4.724 3.864 3.144 3.053
0.0152 0.01508 6.60000 0.8901483417 2.4466173931    0.890 -0.206  3.6375  4.095    0 5.285 8.091 7.097 5.939 5.219 4.633 3.791 3.083 2.995
0.0152 0.01508 6.60000 0.9000000358 2.4492786175    0.899 -0.197  3.6386  4.095    0 5.262 8.048 7.060 5.906 5.191 4.608 3.770 3.066 2.978
0.0152 0.01508 6.60000 0.9500000477 2.4618122009    0.950 -0.157  3.6438  4.099    0 5.161 7.852 6.898 5.764 5.066 4.501 3.683 2.996 2.911
0.0152 0.01508 6.60000 1.0000000000 2.4729154477    1.000 -0.117  3.6490  4.103    0 5.062 7.655 6.736 5.622 4.942 4.394 3.597 2.926 2.844
0.0152 0.01508 6.60000 1.0059416294 2.4741507607    1.006 -0.112  3.6496  4.103    0 5.050 7.633 6.718 5.606 4.928 4.382 3.587 2.919 2.837
0.0152 0.01508 6.60000 1.0499999523 2.4828114860    1.050 -0.074  3.6544  4.103    0 4.956 7.451 6.567 5.474 4.812 4.281 3.504 2.852 2.773
0.0152 0.01508 6.60000 1.0948327780 2.4908066989    1.094 -0.039  3.6591  4.105    0 4.868 7.281 6.431 5.355 4.709 4.188 3.430 2.794 2.717
0.0152 0.01508 6.60000 1.1000000238 2.4916801480    1.099 -0.035  3.6596  4.105    0 4.858 7.261 6.415 5.341 4.697 4.178 3.421 2.787 2.711
0.0152 0.01508 6.60000 1.1499999762 2.4996678137    1.149  0.004  3.6649  4.106    0 4.760 7.070 6.262 5.207 4.581 4.074 3.337 2.722 2.648
0.0152 0.01508 6.60000 1.2000000477 2.5068948796    1.200  0.043  3.6701  4.106    0 4.662 6.882 6.111 5.076 4.467 3.972 3.255 2.657 2.586
0.0152 0.01508 6.60000 1.2155925035 2.5090092529    1.215  0.055  3.6717  4.106    0 4.633 6.826 6.066 5.037 4.433 3.941 3.230 2.638 2.567
0.0152 0.01508 6.60000 1.2500000000 2.5134610955    1.250  0.083  3.6753  4.105    0 4.563 6.693 5.960 4.945 4.352 3.869 3.171 2.591 2.523
0.0152 0.01508 6.60000 1.2999999523 2.5194498592    1.300  0.126  3.6806  4.101    0 4.456 6.493 5.800 4.804 4.228 3.757 3.079 2.517 2.451
0.0152 0.01508 6.60000 1.3455376625 2.5244611620    1.346  0.157  3.6850  4.101    0 4.376 6.340 5.679 4.700 4.138 3.676 3.013 2.465 2.402
